,House Name,Location,ImgURL,Price
471,4 Bed House with En Suite at Five Star Meadows,4 BEDROOM HOUSE FOR SALE IN FIVESTAR MEADOWS,https://i.roamcdn.net/prop/brk/listing-thumb-376w/373a6b6ea1d5dd9f2d36ef2a82343ce4/-/prod-property-core-backend-media-brk/6434689/9e66c3f7-5746-4665-9b19-389746444b2e.jpeg,"KSh 283,050,000"
472,3 Bed House with Swimming Pool at Bofa Road,An elegant blend of Swahili and Moroccan style ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1feb8487faadfeff05148d02bf947995/-/prod-property-core-backend-media-brk/6536698/3f9ed94a-3dfd-4476-a3c3-a8aa0e27b3c6.jpg,"KSh 20,000,000"
473,Land at Moi North Lake Road,Eco-conscious 2-acre Plots with Access to Wildl ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/e84e82e05539efcbe2eb7b5e275a307b/-/prod-property-core-backend-media-brk/2086158/1bcbffc1-a359-4870-801c-61c9360399fa.JPG,"KSh 180,000,000"
474,5 Bed Villa with Garden at Tudor Creek,"5 bedroom villa for sale in Tudor Creek, Tudor, ...",https://i.roamcdn.net/prop/brk/listing-thumb-376w/154102a1d0578252edd4d7e524ccfebc/-/prod-property-core-backend-media-brk/6675520/7373fa6a-90d5-4a92-9a45-a6aa3237b3ba.jfif,"KSh 60,000,000"
475,Residential Land at Runda Evergreen,Runda prime half acre plot,https://i.roamcdn.net/prop/brk/listing-thumb-376w/7e1071e2b65a8f7a60af224b2b11f516/-/prod-property-core-backend-media-brk/6675496/40e1f4b7-9290-431b-9bf9-870c0925599b.jpeg,"KSh 65,000,000"
476,4 Bed House with Staff Quarters in Lavington,Cosy 4- bedroom family home for sale in Lavingt ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2455a7291ff27f0404246fb106c0f419/-/prod-property-core-backend-media-brk/6675284/ccd421cc-d5d8-42be-9cad-e7c142b2f70c.jpg,"KSh 55,000,000"
477,4 Bed House with Staff Quarters in Kiambu Road,1.55 acre river front property with a classic 4 ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/8664042fc048146e96ab89fce68cc7b3/-/prod-property-core-backend-media-brk/6675327/cf911f0a-2375-48ac-94b4-5f8f89195ea6.jpg,"KSh 400,000,000"
478,2 Bed House with Garden in Kitengela,"2 bedroom cottage for sale in Kitengela, Kajiad ...",https://i.roamcdn.net/prop/brk/listing-thumb-376w/f70a452bc2a231876cf68b44fb708666/-/prod-property-core-backend-media-brk/6538850/e4cf7e87-0eec-45c4-8a88-8a23d9f107db.jpg,"KSh 33,000,000"
479,Land at Champagne Ridge,Magnificent 100-acre Plot For Sale on Champagne ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b506aca4fd51d0711c7be5977a559f84/-/prod-property-core-backend-media-brk/6689646/e586d4cb-86a8-41e6-a887-86f3275f356d.jpg,"KSh 12,000,000"
480,4 Bed Townhouse with En Suite in Runda,Corner 4 Bedroomed Town House For Sale In Runda ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/9f6406c4e37764abe0aa4f2fed73ca09/-/prod-property-core-backend-media-brk/6520420/3d29bc7f-50a9-40ee-92f2-d176bcf92b08.jpg,"KSh 105,000,000"
481,2 Bed Apartment with En Suite at Fourways Junction Estate,2 BEDROOM APARTMENT FOR SALE ALONG KIAMBU ROAD,https://i.roamcdn.net/prop/brk/listing-thumb-376w/5e052ab99839dd58351a7bbf543b5a01/-/prod-property-core-backend-media-brk/6675326/0a925d48-fb8e-47cd-a565-9b913044fed4.jpg,"KSh 15,500,000"
482,3 Bed Villa with En Suite in Malindi,Prime property for sale in Malindi,https://i.roamcdn.net/prop/brk/listing-thumb-376w/28d74674196568d432e5903bef84bf8f/-/prod-property-core-backend-media-brk/6675255/1500ae6c-6940-4445-9611-74e5baee87b3.jpeg,"KSh 18,000,000"
483,Furnished 2 Bed Apartment with En Suite in Kilimani,Kilimani modern Executive upscale 2 bedrooms fu ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b89010fa844b5a2d3cf20ab8a4627813/-/prod-property-core-backend-media-brk/5604336/13d97a6e-b3c4-4134-9cb3-7e19a590deba.jpg,"KSh 1,500,000,000"
484,2 Bed Apartment with En Suite in Lavington,Homely 2 bedroom + dsq apartment for sale in La ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/eabbedbb2b0b76f54bb476837d84e03a/-/prod-property-core-backend-media-brk/5736637/44eef863-dbe3-43bb-b274-a5d987675f0b.jpg,"KSh 80,000,000"
485,Land in Naivasha,1000 Acre Famr For Sale At Kedong Ranch Naivash ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/eb2dc674648be6466035b82f271d6797/-/prod-property-core-backend-media-brk/6119319/f9ef95ae-d144-4491-b9fd-0291568be511.jpg,"KSh 9,700,000"
486,4 Bed House with En Suite in Karen,4 BEDROOM MANSION IN GATED COMMUNITY,https://i.roamcdn.net/prop/brk/listing-thumb-376w/8ca7830d254959513384230ba4fe1444/-/prod-property-core-backend-media-brk/6139069/2e1ba3d3-3c7f-40d4-ac3f-8b861c4a65a7.jpg,"KSh 26,500,000"
487,1 Bed Apartment with Swimming Pool in Thika Road,1-Bedroom Duplex Apartment - 72 Sqm.,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b6ba3ee550e2153855e37ce9a519910b/-/prod-property-core-backend-media-brk/5780136/1fe5a576-da52-410b-8e3b-bbf8f8771fe9.jpg,"KSh 55,000,000"
488,3 Bed Apartment with En Suite in Nyali Area,"ZAMBARANI HOMES, NYALI, MOMBASA",https://i.roamcdn.net/prop/brk/listing-thumb-376w/616781961dc89505200302dc6a70f5cd/-/prod-property-core-backend-media-brk/6228544/a72890e1-27e0-4dcf-8f94-08343523e4fa.jpeg,"KSh 130,000,000"
489,4 Bed Villa with En Suite in Malindi,4 Bedroom Villa for sale in Malindi,https://i.roamcdn.net/prop/brk/listing-thumb-376w/dd82a8e94bcd10a7955e64a5fad6f1fc/-/prod-property-core-backend-media-brk/6322210/9f9c595a-c786-450b-b75d-7d0c488e1bf7.jpg,"KSh 12,500"
490,5 Bed House with En Suite at Bomas,House for sale in runda,https://i.roamcdn.net/prop/brk/listing-thumb-376w/04adccd82fdabee576cc28d01da4ca02/-/prod-property-core-backend-media-brk/6406933/2b8e0b81-402b-43de-b49e-75b4d5d45035.jpg,"KSh 37,000,000"
491,Studio Apartment in Lavington,"These Meticulous, Futuristic and Modern Up Comi ...",https://i.roamcdn.net/prop/brk/listing-thumb-376w/0b620812e75a2e1b6ab1ef4bcd17007d/-/prod-property-core-backend-media-brk/6334853/87b0fc41-c8de-4673-8baa-95076e4b163c.jpg,"KSh 32,000,000"
